start_date,neparea_km2,neparea_perc,eezarea_km2,eezarea_perc,nsbarea_km2,nsbarea_perc,ssbarea_km2,ssbarea_perc,oparea_km2,oparea_perc
2023-10-22,5865660,28.5,25970,5.9,18650,20.1,2050,7.5,5280,1.7
2023-10-23,5573200,27.1,24190,5.5,17830,19.3,1540,5.6,4820,1.5
2023-10-24,5397250,26.2,19440,4.4,14130,15.3,0,0,5320,1.7
2023-10-25,5273280,25.6,19080,4.3,10930,11.8,0,0,8160,2.6
2023-10-26,5341310,25.9,3230,0.7,2270,2.4,0,0,970,0.3
2023-10-27,5753020,27.9,2380,0.5,450,0.5,0,0,1930,0.6
2023-10-28,6203260,30.1,1900,0.4,450,0.5,0,0,1450,0.5
2023-10-29,6516620,31.7,450,0.1,450,0.5,0,0,0,0
2023-10-30,6879850,33.4,4290,1,1380,1.5,0,0,2910,0.9
2023-10-31,7217220,35.1,5290,1.2,2390,2.6,0,0,2900,0.9
2023-11-01,7782000,37.8,950,0.2,950,1,0,0,0,0
2023-11-02,7994340,38.8,0,0,0,0,0,0,0,0
2023-11-03,8083120,39.3,0,0,0,0,0,0,0,0
2023-11-04,8247720,40.1,2850,0.6,2850,3.1,0,0,0,0
2023-11-05,8330740,40.5,1470,0.3,0,0,0,0,1470,0.5
2023-11-06,8116610,39.4,4420,1,0,0,0,0,4420,1.4
2023-11-07,7581540,36.8,8750,2,3840,4.1,0,0,4910,1.6
2023-11-08,7351980,35.7,5830,1.3,1930,2.1,0,0,3900,1.2
2023-11-09,7063530,34.3,0,0,0,0,0,0,0,0
2023-11-10,6780640,32.9,0,0,0,0,0,0,0,0
2023-11-11,6812930,33.1,2520,0.6,980,1.1,1550,5.6,0,0
2023-11-12,6719670,32.6,4000,0.9,1950,2.1,2050,7.5,0,0
2023-11-13,6667730,32.4,4490,1,2440,2.6,2050,7.5,0,0
2023-11-14,6453970,31.3,5910,1.3,4370,4.7,1540,5.6,0,0
2023-11-15,6095890,29.6,12940,2.9,6790,7.3,6170,22.5,0,0
2023-11-16,5774220,28,18700,4.3,3880,4.2,14830,54.1,0,0
2023-11-17,5547810,26.9,22720,5.2,4860,5.3,17350,63.3,520,0.2
2023-11-18,5362910,26,24690,5.6,5820,6.3,18360,66.9,520,0.2
2023-11-19,5172780,25.1,26150,5.9,6780,7.3,18870,68.8,520,0.2
2023-11-20,4738330,23,25420,5.8,10100,10.9,14810,54,520,0.2
2023-11-21,4533530,22,26910,6.1,10570,11.4,14280,52.1,2070,0.7
2023-11-22,4574110,22.2,23340,5.3,10570,11.4,12260,44.7,520,0.2
2023-11-23,4385740,21.3,21760,5,9010,9.7,10730,39.1,520,0.2
2023-11-24,4250850,20.6,19760,4.5,8990,9.7,7690,28.1,2080,0.7
2023-11-25,4502420,21.9,12010,2.7,4320,4.7,6670,24.3,1030,0.3
2023-11-26,4905710,23.8,8080,1.8,1920,2.1,5140,18.7,1030,0.3
2023-11-27,5284140,25.7,12660,2.9,6490,7,5140,18.7,1030,0.3
2023-11-28,5694720,27.7,39100,8.9,24260,26.2,11230,41,3620,1.2
2023-11-29,6088480,29.6,33450,7.6,21160,22.9,9720,35.4,2580,0.8
2023-11-30,6184900,30,51540,11.7,39840,43,5140,18.7,6580,2.1
2023-12-01,5986770,29.1,49600,11.3,35650,38.5,4620,16.8,8830,2.8
2023-12-02,5778350,28.1,53630,12.2,44300,47.8,2060,7.5,6770,2.2
2023-12-03,5564650,27,46340,10.5,36950,39.9,1030,3.8,7850,2.5
2023-12-04,5238740,25.4,45950,10.5,40370,43.6,1030,3.8,520,0.2
2023-12-05,4625880,22.5,49100,11.2,44560,48.1,510,1.9,0,0
2023-12-06,4230350,20.5,45220,10.3,43180,46.6,0,0,520,0.2
2023-12-07,4045140,19.6,26600,6.1,24010,25.9,0,0,2080,0.7
2023-12-08,3756120,18.2,9500,2.2,3240,3.5,510,1.9,5240,1.7
2023-12-09,3621660,17.6,1420,0.3,900,1,510,1.9,0,0
2023-12-10,3682580,17.9,1870,0.4,1350,1.5,510,1.9,0,0
2023-12-11,3835240,18.6,9080,2.1,8570,9.3,510,1.9,0,0
2023-12-12,3857450,18.7,2320,0.5,1800,1.9,510,1.9,0,0
2023-12-13,3904430,19,10180,2.3,9670,10.4,510,1.9,0,0
2023-12-14,4027700,19.6,13550,3.1,12510,13.5,510,1.9,520,0.2
2023-12-15,3909310,19,20550,4.7,20550,22.2,0,0,0,0
