"STN_ID","Date","SSTP","lat","lon","source"
"C46304 Entrance English Bay",2023-08-06,20.023,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-07,19.985,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-08,20.076,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-09,19.683,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-10,19.726,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-11,20.379,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-12,20.786,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-13,20.508,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-14,19.001,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-15,18.148,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-16,17.532,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-17,16.742,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-18,14.758,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-19,13.731,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-20,15.722,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-21,15.464,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-22,15.875,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-23,15.706,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-24,16.576,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-25,16.508,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-26,16.273,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-27,16.591,49.30167,-123.357,"ECCC"
"C46304 Entrance English Bay",2023-08-28,17.39,49.30167,-123.357,"ECCC"
